wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,deposit_amount,borrow_amount,repay_amount,redeem_amount,repayment_ratio,liquidation_ratio,activity_score,lifetime_days,score
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,1,1,0,0,0,845893155281.2314,500.0,0.0,0.0,0.0,0.0,0.02,0.0024189814814814816,354.0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,2,1,1,2,0,25000000000000.0,16000000000000.0,16000000000000.0,24999990000000.0,1.0,0.0,0.06,0.0043518518518518515,762.0
0x0005696d4be2359526c497fe4a4c0620b41f2426,1,1,1,4,0,293501410000.0,592.247574,592.2972,102862678518187.44,1.0,0.0,0.07,0.6429861111111111,714.0
0x000660cad76200a2e326f53e033919905e6c50f5,1,0,0,0,0,1.064772,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,0,0,0,0,1300000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00080000158a9930aeb508823103b0a977161c47,2,0,0,0,0,3000000000000.0,0.0,0.0,0.0,0.0,0.0,0.02,9.988402777777777,504.0
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,0,0,0,0,4712595639.187231,0.0,0.0,0.0,0.0,0.0,0.02,7.811921296296297,504.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,0,0,0,0,41000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000a27ba176083e4b50177378cbe7469a00dd557,4,2,2,4,0,276.526904,160.0,160.082274,276.749587,1.0,0.0,0.12,33.186087962962965,824.0
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,18,8,5,12,0,1.9281445079779704e+16,48000000013383.266,13385.125834,3.2711078877231536e+16,2.7885678813058306e-10,0.0,0.43,25.913368055555555,741.56
0x000ab43e658935ba39504a1424b01756c1e9644c,1,1,0,0,0,100000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.02,0.0005092592592592592,354.0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,49,0,0,28,0,220021394145923.7,0.0,0.0,170883802046732.4,0.0,0.0,0.77,123.26833333333333,1000.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1,1,1,1,0,1.5e+16,2356000000000000.0,2356000000000000.0,1.5e+16,1.0,0.0,0.04,0.0006944444444444445,708.0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,20,20,17,14,0,71324576292.92883,971.0,921.516338,66328114216.778885,0.9490384521637091,0.0,0.71,66.14396990740741,900.99
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,4,1,1,0,0,200272000000000.0,40.0,40.10815,0.0,1.0,0.0,0.06,30.66425925925926,762.0
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,0,0,0,0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,1,3,2,2,0,282569019336.3728,879.0,501.890779,502.090425,0.5709792701126516,0.0,0.08,80.57099537037037,505.2
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,6,0,0,2,0,2132617238514.029,0.0,0.0,1060008174647.5559,0.0,0.0,0.08,20.31818287037037,965.7
0x000e840a3122ec28d0c29321db172375cb049762,5,2,2,1,0,383708442044795.1,216.90860700000002,217.048025,267.358748,1.0,0.0,0.1,26.296134259259258,753.33
0x000e9bd1d42999446d60ff60f1fb3afb13604202,8,6,4,4,0,18112655988098.613,35.0,35.002269,112655992800.89796,1.0,0.0,0.22,1.9734722222222223,716.05
0x000eab293e332bd6e67018a9150e8807bfac3233,1,0,0,0,0,1200000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1,0,0,1,0,56000000000000.0,0.0,0.0,56092343527428.516,0.0,0.0,0.02,15.675266203703703,504.0
0x000f4432a40560bbff1b581a8b7aded8dab80026,7,6,3,9,0,9284729019012.137,17600.0,17614.321013,907387577632174.2,1.0,0.0,0.25,18.144305555555555,792.86
0x000f7f22bfc28d940d4b68e13213ab17cf107790,26,19,13,15,0,4.08263235352715e+19,3.4310340193421267e+19,3.43160523316077e+19,4.075746481819851e+19,1.0,0.0,0.73,2.827002314814815,940.83
0x000f908720f9ce164d90f4fc89459fab4442907f,32,30,17,17,0,1529696501917929.8,793528159068530.4,793555114216778.5,1529758635045204.0,1.0,0.0,0.96,1.3537152777777777,950.06
0x000fbfec300959d0f2f327728a889c1f5de8e2df,3,1,1,3,0,593233163408688.9,140000000000000.0,140049101164096.84,350000000000000.0,1.0,0.0,0.08,8.035497685185184,775.0
0x0011730224657eb527cf736039854c3a3f140e63,1,1,1,1,0,4500000000000000.0,739000000000000.0,739000000000000.0,4500000000000000.0,1.0,0.0,0.04,0.0015972222222222223,708.0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2,1,1,0,0,236759895699122.72,2.608976,2.608976,0.0,0.9999996167080046,0.0,0.04,0.05458333333333333,658.0
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,0,0,0,0,3000000000000.0,0.0,0.0,0.0,0.0,0.0,0.02,2.7753703703703705,504.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,101,24,93,11,2,1.1486621116412446e+16,4923462755854999.0,933385959030950.9,9110069637323.65,0.18957916517616896,0.08333332986111125,1.0,62.002928240740744,1000.0
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0,0,0,1,0,0.0,0.0,0.0,5000954281.830769,0.0,0.0,0.01,0.0,402.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,0,0,0,0,92600000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,0,0,0,0,2.455392,0.0,0.0,0.0,0.0,0.0,0.02,6.0942592592592595,504.0
0x0014dfac19477a83d7354e6eaac28642c1959398,10,6,9,11,0,169933609660123.06,18156.827224,18162.323503,169935788252478.44,1.0,0.0,0.36,30.192581018518517,943.43
0x001589fe1923c2118f34e4277f2ef650fcbf0161,19,2,0,9,0,4140691562270579.5,943379631812690.5,0.0,2172169525372738.8,0.0,0.0,0.3,132.77488425925927,1000.0
0x00159370cbe576b765a7fb2e78582e0cb563d445,10,7,0,2,0,1437821754944003.0,475533676000591.5,0.0,1073270000000000.0,0.0,0.0,0.19,20.828761574074075,537.65
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1,0,0,1,0,14.127252,0.0,0.0,14.127276,0.0,0.0,0.02,0.02034722222222222,504.0
0x0016469a65facda9e86fd0ae0e9661128843c224,1,1,0,0,0,22100000000.0,5000000000.0,0.0,0.0,0.0,0.0,0.02,0.0,354.0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,0,0,0,0,96300000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00183135585d70a523d61b2e43037a7138b36906,15,13,10,16,0,1530492210114749.2,1420027252822416.0,640740282471.2977,644257625124726.2,0.00045121689122358457,0.0,0.54,57.14190972222222,628.76
0x00184e8aa1e95f491f2d9601e12b540092160ded,1,1,1,1,0,102350000000000.0,61000000000000.0,61000000000000.0,102350000000000.0,1.0,0.0,0.04,0.0008333333333333334,708.0
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,0,0,0,0,260000000.00046033,0.0,0.0,0.0,0.0,0.0,0.72,22.195231481481482,1000.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,0,0,0,0,2.2,0.0,0.0,0.0,0.0,0.0,0.02,5.458935185185185,504.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,9,2,2,9,0,14628276542630.127,1.121816,1.12182,14787763799382.059,1.0,0.0,0.22,53.29346064814815,1000.0
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0,1,2,2,0,0.0,79.209353,158.517071,187368668395247.62,1.0,0.0,0.05,14.21355324074074,710.0
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,1,1,0,0,0,411897655835.2786,500.0,0.0,0.0,0.0,0.0,0.02,0.0014351851851851852,354.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,10,6,7,9,0,39147130994874.79,234.424601,234.55510500000003,331.228407,1.0,0.0,0.32,23.079467592592593,806.86
0x001bc97d92e1a30b02d4e75be25f06063555d556,12,10,9,14,0,1.1484504979413795e+17,54452.83276099999,54495.84939799999,9.918519322967731e+16,1.0,0.0,0.45,9.53417824074074,867.27
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,0,0,0,0,6240750099.327031,0.0,0.0,0.0,0.0,0.0,0.02,20.678125,504.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,0,0,0,0,2000000000000.0098,0.0,0.0,0.0,0.0,0.0,0.02,9.698611111111111,504.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,0,0,0,0,6461144026.105417,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,0,0,0,0,1.109087,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,0,0,0,0,0.018485,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,5,0,0,1,0,918900412657474.9,0.0,0.0,300000000000000.0,0.0,0.0,0.06,68.25821759259259,844.65
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,0,0,0,0,0.023783,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0,0,0,1,0,0.0,0.0,0.0,2012030.94263,0.0,0.0,0.01,0.0,402.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,0,0,0,0,1135240588968.5977,0.0,0.0,0.0,0.0,0.0,0.02,6.116898148148148,504.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,0,0,0,0,4440486156.185637,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002379916ac42a432f3b53f16782d33267debb4c,1,0,0,0,0,1500000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,0,0,0,0,2.2,0.0,0.0,0.0,0.0,0.0,0.02,5.45849537037037,504.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,0,0,0,0,14.997724,0.0,0.0,0.0,0.0,0.0,0.02,0.0008564814814814815,504.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,0,0,0,0,4.999194,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,0,0,0,0,12625001510.457943,0.0,0.0,0.0,0.0,0.0,0.02,1.014375,504.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0,0,0,1,0,0.0,0.0,0.0,1012.775168,0.0,0.0,0.01,0.0,402.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,0,0,0,0,25000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00246f7813397868b1beec56e1677efa47816dae,30,9,2,3,0,3037908154495826.0,2356800000000000.0,2359307309858441.0,3038879474847870.0,1.0,0.0,0.44,21.02681712962963,1000.0
0x0025a856d01a898bd52286d56c52323b13937b65,1,0,0,0,0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00261d225db379b3fc74cd0228d6f90582d39035,1,1,0,0,0,34200000000.0,5000000000.0,0.0,0.0,0.0,0.0,0.02,0.0,354.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,4,3,1,2,0,101.16919200000001,57.074003000000005,57.090279,101.180778,1.0,0.0,0.1,3.7604166666666665,745.0
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,0,0,0,0,450246121.481307,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,0,0,0,0,1.851978,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,0,0,0,0,97000000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002775390698ef16589bb22bba37ae7906ae2f36,17,7,5,1,0,81389771485949.78,68201720166501.7,3201720166501.6978,11.640428,0.046944859435880774,0.0,0.3,20.264166666666668,644.39
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,0,0,0,0,1.880888,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0027f7335d610f15b325baa5798414548720fcaa,6,2,2,3,0,200552767521.7745,1518.99297,1519.063995,4100.077779,1.0,0.0,0.13,1.3520833333333333,792.67
0x00283b611db7844cb5677b311afd67c8e3078518,1,0,0,0,0,7.200645,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,0,0,0,0,47200000000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,0,0,0,0,2600000000000.0,0.0,0.0,0.0,0.0,0.0,0.02,3.714583333333333,504.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,0,0,0,0,1.107978,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,12,10,5,14,0,1430619659525877.0,674381785819341.9,15.406926,2455442678868147.0,2.2845999586541793e-14,0.0,0.41,82.66001157407408,636.55
0x002bb13a55bf4525f02717708dd4534ecc475193,2,0,0,0,0,3.1451770000000003,0.0,0.0,0.0,0.0,0.0,0.02,0.000787037037037037,504.0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,0,0,0,0,1.15122,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,2,1,1,1,0,1000000000005.1339,2.726309,2.726309,5.133916,0.9999996332038542,0.0,0.05,18.024618055555557,660.0
0x002d2715b179d0db3e17cc28317a98f2f65e6884,98,64,38,53,0,7.932648299989013e+16,3.3426624892930284e+16,8000894335516517.0,3.936388910495687e+16,0.23935693062474586,0.0,1.0,101.88613425925926,806.72
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,0,0,0,0,4674990964.187967,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,5,5,16,3,0,1.52000000000005e+16,4500.0,1380.602617,1503.137603,0.30680058148737765,0.0,0.29,128.74545138888888,769.36
0x002de04d579930686698abab5f48bda0b24fb9fc,32,13,15,25,0,9561601228095396.0,42533.281825,42583.466717999996,17769797761859.953,1.0,0.0,0.85,80.3359375,1000.0
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,1,1,1,1,0,2.1457e+16,2500000000000000.0,2500000000000000.0,2.1457e+16,1.0,0.0,0.04,0.0015277777777777779,708.0
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,1,0,0,5,0,15.0,0.0,0.0,85081632513330.2,0.0,0.0,0.06,71.94774305555555,512.0
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,0,0,0,0,0.012183,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,61,26,12,9,0,3811979678649937.5,150000000002912.47,2509.9691059999996,1819999290596693.0,1.6733127373008433e-11,0.0,1.0,105.19599537037037,818.11
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0,0,0,2,0,0.0,0.0,0.0,44842.195767,0.0,0.0,0.02,0.0028472222222222223,404.0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,35,23,0,0,0,9647786848111266.0,4950000000006150.0,0.0,0.0,0.0,0.0,0.58,40.67474537037037,561.83
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,0,0,0,0,6764030347.976762,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1,0,0,2,0,197.0,0.0,0.0,197.981473,0.0,0.0,0.03,33.31018518518518,506.0
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,0,0,0,0,2.2,0.0,0.0,0.0,0.0,0.0,0.02,5.458726851851852,504.0
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,0,0,0,0,165694780.930095,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,37,11,11,8,0,9.440670629086131e+16,5.404812000007117e+16,5.417605170497537e+16,9.454069e+16,1.0,0.0,0.67,73.14305555555555,1000.0
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,0,0,0,0,512154521.788658,0.0,0.0,0.0,0.0,0.0,0.01,0.0,402.0
